# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[4基] checthedy  ->  c + h + e + cthedy
[4基] checthey  ->  c + h + e + cthey
[4基] checthhy  ->  c + he + cth + hy
[4基] checthy  ->  c + h + e + cthy
[4基] chedacphy  ->  c + h + eda + cphy
[4基] chedalkedy  ->  c + h + eda + lkedy
[4基] chedalos  ->  c + h + eda + los
[4基] chedchey  ->  c + h + e + dchey
[4基] chedchy  ->  c + h + e + dchy
[4基] chedees  ->  c + h + e + dees
[4基] chedeey  ->  c + h + e + deey
[4基] chedey  ->  c + h + e + dey
[4基] chedkain  ->  c + h + e + dkain
[4基] chedkaly  ->  c + h + e + dkaly
[4基] chedkel  ->  c + h + e + dkel
[4基] chedky  ->  c + h + e + dky
[4基] chedykar  ->  c + h + e + dykar
[4基] chedyor  ->  c + h + e + dyor
[4基] chedyteokain  ->  c + he + dyte + okain
[4基] chedytey  ->  c + h + e + dytey
[4基] chedyty  ->  c + h + e + dyty
[4基] cheeckhody  ->  c + h + ee + ckhody
[4基] cheecpheey  ->  c + h + ee + cpheey
[4基] cheecthy  ->  c + h + ee + cthy
[4基] cheedalaiin  ->  c + h + eeda + laiin
[4基] cheeetchol  ->  c + h + eee + tchol
[4基] cheeg  ->  c + h + ee + g
[4基] cheekchey  ->  c + h + ee + kchey
[4基] cheekeey  ->  c + h + ee + keey
[4基] cheekeo  ->  c + h + ee + keo
[4基] cheekeody  ->  c + h + ee + keody
[4基] cheekey  ->  c + h + ee + key
[4基] cheeoekey  ->  c + hee + oe + key
[4基] cheeokeey  ->  c + h + ee + okeey
[4基] cheeokseo  ->  c + h + eeok + seo
[4基] cheeoldair  ->  c + h + ee + oldair
[4基] cheeoldy  ->  c + h + ee + oldy
[4基] cheeorfor  ->  c + h + ee + orfor
[4基] cheeotaiin  ->  c + h + ee + otaiin
[4基] cheepchdy  ->  c + h + ee + pchdy
[4基] cheesees  ->  c + h + ee + sees
[4基] cheeteey  ->  c + h + ee + teey
[4基] cheeykam  ->  c + h + ee + ykam
[4基] cheeytey  ->  c + h + ee + ytey
[4基] chefalas  ->  c + h + efa + las
[4基] chefchdy  ->  c + h + e + fchdy
[4基] chefchey  ->  c + h + e + fchey
[4基] chefchol  ->  c + h + e + fchol
[4基] chefchy  ->  c + h + e + fchy
[4基] cheg  ->  c + h + e + g
[4基] chekaiphy  ->  c + h + ekaip + hy
[4基] chekaithhy  ->  c + hekait + h + hy
[4基] chekalchs  ->  c + h + eka + lchs
[4基] chekchdy  ->  c + h + e + kchdy
[4基] chekcheey  ->  c + h + e + kcheey
[4基] chekchey  ->  c + h + e + kchey
[4基] chekchoy  ->  c + h + e + kchoy
[4基] chekchy  ->  c + h + e + kchy
[4基] chekeal  ->  c + h + e + keal
[4基] chekear  ->  c + h + e + kear
[4基] chekechy  ->  c + h + e + kechy
[4基] cheked  ->  c + h + e + ked
[4基] chekedy  ->  c + h + e + kedy
[4基] chekeeal  ->  c + h + e + keeal
[4基] chekeedy  ->  c + h + e + keedy
[4基] chekeek  ->  c + h + e + keek
[4基] chekeen  ->  c + h + e + keen
[4基] chekeesshy  ->  c + he + kees + shy
[4基] chekeey  ->  c + h + e + keey
[4基] chekeg  ->  c + he + ke + g
[4基] chekeo  ->  c + h + e + keo
[4基] chekeoar  ->  c + h + e + keoar
[4基] chekeod  ->  c + h + e + keod
[4基] chekeody  ->  c + h + e + keody
[4基] chekeol  ->  c + h + e + keol
[4基] chekeor  ->  c + h + e + keor
[4基] chekes  ->  c + h + e + kes
[4基] chekey  ->  c + h + e + key
[4基] chekeys  ->  c + h + e + keys
[4基] chekhol  ->  c + h + ek + hol
[4基] cheockay  ->  c + h + eoc + kay
[4基] cheockhdy  ->  c + h + e + ockhdy
[4基] cheockhedchy  ->  c + he + ockhe + dchy
[4基] cheockhey  ->  c + h + e + ockhey
[4基] cheockhy  ->  c + h + e + ockhy
[4基] cheocphey  ->  c + h + e + ocphey
[4基] cheocphy  ->  c + h + e + ocphy
[4基] cheocthedy  ->  c + h + e + octhedy
[4基] cheoctheey  ->  c + h + e + octheey
[4基] cheocthey  ->  c + h + e + octhey
[4基] cheocthy  ->  c + h + e + octhy
[4基] cheodalol  ->  c + h + eoda + lol
[4基] cheodchy  ->  c + h + e + odchy
[4基] cheodeeey  ->  c + h + e + odeeey
[4基] cheodeey  ->  c + h + e + odeey
[4基] cheodkedy  ->  c + h + e + odkedy
[4基] cheodoiidaiin  ->  c + h + eodoi + idaiin
[4基] cheoe  ->  c + h + e + oe
[4基] cheoees  ->  c + h + e + oees
[4基] cheoekar  ->  c + h + e + oekar
[4基] cheoekcy  ->  c + h + e + oekcy
[4基] cheoekeey  ->  c + he + oe + keey
[4基] cheoekey  ->  c + he + oe + key
[4基] cheoepey  ->  c + he + oe + pey
[4基] cheoepy  ->  c + h + e + oepy
[4基] cheoet  ->  c + h + e + oet
[4基] cheoiees  ->  c + h + e + oiees
[4基] cheokaidy  ->  c + h + e + okaidy
[4基] cheokaiim  ->  c + h + e + okaiim
[4基] cheokaiin  ->  c + h + e + okaiin
[4基] cheokain  ->  c + h + e + okain
[4基] cheokal  ->  c + h + e + okal
[4基] cheokaly  ->  c + h + e + okaly
[4基] cheokam  ->  c + h + e + okam
[4基] cheokar  ->  c + h + e + okar
[4基] cheokcheo  ->  c + h + e + okcheo
[4基] cheokchet  ->  c + h + e + okchet
[4基] cheokchey  ->  c + h + e + okchey
[4基] cheokchy  ->  c + h + e + okchy
[4基] cheokeain  ->  c + h + e + okeain
[4基] cheokedy  ->  c + h + e + okedy
[4基] cheokeeo  ->  c + h + e + okeeo
[4基] cheokeeos  ->  c + h + e + okeeos
[4基] cheokeey  ->  c + h + e + okeey
[4基] cheokeo  ->  c + h + e + okeo
[4基] cheokeodal  ->  c + h + e + okeodal
[4基] cheokeol  ->  c + h + e + okeol
[4基] cheokeos  ->  c + h + e + okeos
[4基] cheokey  ->  c + h + e + okey
[4基] cheokor  ->  c + h + e + okor
[4基] cheokorchey  ->  c + h + eok + orchey
[4基] cheoky  ->  c + h + e + oky
[4基] cheolaiin  ->  c + h + e + olaiin
[4基] cheolchal  ->  c + h + e + olchal
[4基] cheolchcthy  ->  c + h + e + olchcthy
[4基] cheolchdaiin  ->  c + h + e + olchdaiin
[4基] cheolchdy  ->  c + h + e + olchdy
[4基] cheolchey  ->  c + h + e + olchey
[4基] cheoldain  ->  c + h + e + oldain
[4基] cheoldy  ->  c + h + e + oldy
[4基] cheolkain  ->  c + h + e + olkain
[4基] cheolkary  ->  c + h + e + olkary
[4基] cheolkedy  ->  c + h + e + olkedy
[4基] cheolkeedy  ->  c + h + e + olkeedy
[4基] cheolkeepchy  ->  c + he + olkee + pchy
[4基] cheolkeey  ->  c + h + e + olkeey
[4基] cheolky  ->  c + h + e + olky
[4基] cheolor  ->  c + h + e + olor
[4基] cheolpy  ->  c + h + e + olpy
[4基] cheolshy  ->  c + h + e + olshy
[4基] cheoltain  ->  c + h + e + oltain
[4基] cheoltar  ->  c + h + e + oltar
[4基] cheoltchedaiin  ->  c + h + e + oltchedaiin
[4基] cheoltey  ->  c + h + e + oltey
[4基] cheomam  ->  c + h + eom + am
[4基] cheooky  ->  c + h + e + ooky
[4基] cheopaiin  ->  c + h + e + opaiin
[4基] cheopcheod  ->  c + h + e + opcheod
[4基] cheopolteeedy  ->  c + h + eop + olteeedy
[4基] cheopor  ->  c + h + e + opor
[4基] cheopy  ->  c + h + e + opy
[4基] cheoral  ->  c + h + e + oral
[4基] cheoram  ->  c + h + e + oram
[4基] cheorol  ->  c + h + e + orol
[4基] cheoseesey  ->  c + he + osee + sey
[4基] cheotaiin  ->  c + h + e + otaiin
[4基] cheotain  ->  c + h + e + otain
[4基] cheotam  ->  c + h + e + otam
[4基] cheotar  ->  c + h + e + otar
[4基] cheotchar  ->  c + h + e + otchar
[4基] cheotchey  ->  c + h + e + otchey
[4基] cheotchy  ->  c + h + e + otchy
[4基] cheotdaiin  ->  c + h + e + otdaiin
[4基] cheoteeo  ->  c + h + e + oteeo
[4基] cheoteeodal  ->  c + h + e + oteeodal
[4基] cheoteey  ->  c + h + e + oteey
[4基] cheotey  ->  c + h + e + otey
[4基] cheotol  ->  c + h + e + otol
[4基] cheoty  ->  c + h + e + oty
[4基] cheotydy  ->  c + h + e + otydy
[4基] chepakeo  ->  c + h + epa + keo
[4基] chepcham  ->  c + h + e + pcham
[4基] chepchar  ->  c + h + e + pchar
[4基] chepchdy  ->  c + h + e + pchdy
[4基] chepched  ->  c + h + e + pched
[4基] chepchedy  ->  c + h + e + pchedy
[4基] chepchees  ->  c + h + e + pchees
[4基] chepchefy  ->  c + h + e + pchefy
[4基] chepcheol  ->  c + h + e + pcheol
[4基] chepchey  ->  c + h + e + pchey
[4基] chepchx  ->  c + he + pch + x
[4基] chepchy  ->  c + h + e + pchy
[4基] chesckhy  ->  c + h + e + sckhy
[4基] chese  ->  c + h + e + se
[4基] chesey  ->  c + h + e + sey
[4基] chesokeeoteody  ->  c + he + sokee + oteody
[4基] chetalshy  ->  c + h + etal + shy
[4基] chetchaiin  ->  c + h + e + tchaiin
[4基] chetchdy  ->  c + h + e + tchdy
[4基] chetchey  ->  c + h + e + tchey
[4基] chetcho  ->  c + h + e + tcho
[4基] chetchody  ->  c + h + e + tchody
[4基] chetchy  ->  c + h + e + tchy
[4基] chetechy  ->  c + h + e + techy
[4基] chetedar  ->  c + h + e + tedar
[4基] chetedy  ->  c + h + e + tedy
[4基] cheteedy  ->  c + h + e + teedy
[4基] cheteeeosaiin  ->  c + h + e + teeeosaiin
[4基] cheteey  ->  c + h + e + teey
[4基] chetegy  ->  c + he + te + gy
[4基] chetesescher  ->  che + te + se + scher
[4基] chetey  ->  c + h + e + tey
[4基] chetolain  ->  c + h + et + olain
[4基] chetshedy  ->  c + h + e + tshedy
[4基] chetshy  ->  c + h + e + tshy
[4基] cheykaiin  ->  c + h + e + ykaiin
[4基] cheykain  ->  c + h + e + ykain
[4基] cheykechey  ->  c + he + yke + chey
[4基] cheykedy  ->  c + h + e + ykedy
[4基] cheykeeed  ->  c + h + e + ykeeed
[4基] cheykeeoy  ->  c + h + e + ykeeoy
[4基] cheykey  ->  c + h + e + ykey
[4基] cheyky  ->  c + h + e + yky
[4基] cheytal  ->  c + h + e + ytal
[4基] cheytey  ->  c + h + e + ytey
[4基] cheyty  ->  c + h + e + yty
[4基] chfaikch  ->  c + h + fa + ikch
[2基] chfchol  ->  c + hfchol
[4基] chforaiin  ->  c + h + f + oraiin
[3基] chhy  ->  c + h + hy
[4基] chkaidararal  ->  chka + ida + ra + ral
[4基] chkalar  ->  c + h + ka + lar
[4基] chkalchy  ->  c + h + ka + lchy
[4基] chkarol  ->  c + h + ka + rol
[2基] chkchdar  ->  c + hkchdar
[2基] chkchean  ->  c + hkchean
[4基] chkchedaram  ->  c + h + kcheda + ram
[2基] chkcheean  ->  c + hkcheean
[2基] chkchod  ->  c + hkchod
[2基] chkchody  ->  c + hkchody
[2基] chkchol  ->  c + hkchol
[2基] chkchory  ->  c + hkchory
[2基] chkchy  ->  c + hkchy
[4基] chkchykoly  ->  c + h + kc + hykoly
[2基] chkeaiin  ->  c + hkeaiin
[2基] chkear  ->  c + hkear
[2基] chkedy  ->  c + hkedy
[2基] chkeeal  ->  c + hkeeal
[2基] chkeedy  ->  c + hkeedy
[2基] chkeeey  ->  c + hkeeey
[2基] chkeeody  ->  c + hkeeody
[2基] chkeey  ->  c + hkeey
[2基] chkeody  ->  c + hkeody
[2基] chkeor  ->  c + hkeor
[2基] chkey  ->  c + hkey
[2基] chkodal  ->  c + hkodal
[4基] chkoldy  ->  c + h + k + oldy
[4基] chkorchy  ->  c + h + k + orchy
[2基] chkshy  ->  c + hkshy
[3基] chlchd  ->  c + h + lchd
[4基] chlchpsheey  ->  c + h + lc + hpsheey
[2基] chocfhdy  ->  c + hocfhdy
[4基] chocfhhg  ->  c + h + ocfh + hg
[2基] chocfhor  ->  c + hocfhor
[2基] chocfhy  ->  c + hocfhy
[2基] chochar  ->  c + hochar
[2基] chochor  ->  c + hochor
[2基] chochs  ->  c + hochs
[2基] chochy  ->  c + hochy
[2基] chockhar  ->  c + hockhar
[2基] chockhdy  ->  c + hockhdy
[2基] chockhed  ->  c + hockhed
[2基] chockhedy  ->  c + hockhedy
[2基] chockhey  ->  c + hockhey
[4基] chockhhor  ->  c + h + ockh + hor
[4基] chockhhy  ->  c + h + ockh + hy
[2基] chockhol  ->  c + hockhol
[2基] chockhor  ->  c + hockhor
[2基] chockhy  ->  c + hockhy
[2基] chocpheod  ->  c + hocpheod
[2基] chocphol  ->  c + hocphol
[2基] chocphor  ->  c + hocphor
[2基] chocphy  ->  c + hocphy
[2基] chocthar  ->  c + hocthar
[2基] chocthedy  ->  c + hocthedy
[2基] choctheeey  ->  c + hoctheeey
[2基] chocthey  ->  c + hocthey
[2基] chocthody  ->  c + hocthody
[2基] chocthy  ->  c + hocthy
[4基] choctoy  ->  c + h + oc + toy
[4基] chocty  ->  c + h + oc + ty
[4基] chodaiindy  ->  c + h + odaiin + dy
[4基] chodalar  ->  c + h + oda + lar
[4基] chodalg  ->  c + h + oda + lg
[2基] chodchy  ->  c + hodchy
[2基] choddal  ->  c + hoddal
[2基] chodey  ->  c + hodey
[3基] chodoldy  ->  c + h + odoldy
[3基] chodykchy  ->  c + h + odykchy
[2基] choeee  ->  c + hoeee
[2基] choeees  ->  c + hoeees
[2基] choees  ->  c + hoees
[2基] choeesy  ->  c + hoeesy
[2基] choeey  ->  c + hoeey
[2基] choefy  ->  c + hoefy
[2基] choek  ->  c + hoek
[4基] choekchchy  ->  c + h + oe + kchchy
[4基] choekchy  ->  c + h + oe + kchy
[4基] choekeeos  ->  c + h + oe + keeos
[4基] choekeey  ->  c + h + oe + keey
[4基] choekey  ->  c + h + oe + key
[2基] choeky  ->  c + hoeky
[4基] choetchaldy  ->  c + hoe + tcha + ldy
[4基] choetchy  ->  c + h + oe + tchy
[4基] choeteedy  ->  c + h + oe + teedy
[4基] choetey  ->  c + h + oe + tey
[2基] choety  ->  c + hoety
[2基] chofaly  ->  c + hofaly
[2基] chofary  ->  c + hofary
[2基] chofchdy  ->  c + hofchdy
[2基] chofchody  ->  c + hofchody
[2基] chofchol  ->  c + hofchol
[2基] chofchy  ->  c + hofchy
[4基] chofochcphdy  ->  c + h + of + ochcphdy
[2基] chofol  ->  c + hofol
[2基] chofy  ->  c + hofy
[2基] chofydy  ->  c + hofydy
[4基] choikhedy  ->  c + h + oik + hedy
